user_id,user_role,department,home_country,home_city,preferred_device,preferred_browser,operating_system,preferred_auth_method,preferred_login_hour,preferred_resource,device_fingerprint,
EMP0067,Engineer,Engineering,UK,London,Desktop,Firefox,macOS,SSO,9,Email,EMP0067-14296c07,
EMP0068,Admin,IT,Singapore,Singapore,Mobile,Edge,Windows,SSO,8,Database,EMP0068-d0e6e660,
EMP0069,Finance,Finance,USA,Austin,Desktop,Firefox,Linux,SSO,9,ERP,EMP0069-885f6e66,
EMP0070,Admin,IT,India,Pune,Laptop,Edge,Linux,MFA,7,Email,EMP0070-a8e56e0c,
EMP0071,HR,Human Resources,USA,New York,Desktop,Firefox,Windows,SSO,9,HR Portal,EMP0071-2a45c2ab,
EMP0072,Admin,IT,UK,Manchester,Mobile,Edge,Linux,Password,8,VPN,EMP0072-9b49bd26,
EMP0073,Admin,IT,Singapore,Singapore,Mobile,Edge,Linux,Password,8,Database,EMP0073-edcd465e,
EMP0074,Admin,IT,UK,London,Desktop,Chrome,Linux,MFA,7,Database,EMP0074-b09b2a5c,
EMP0075,Admin,IT,Germany,Munich,Mobile,Chrome,Linux,Password,9,Email,EMP0075-66245bfa,
EMP0076,Engineer,Engineering,UK,London,Laptop,Firefox,Linux,Password,8,Database,EMP0076-5f987c71,
EMP0077,Engineer,Engineering,Germany,Munich,Desktop,Chrome,Linux,MFA,9,VPN,EMP0077-7394988f,
EMP0078,Finance,Finance,UK,Manchester,Laptop,Edge,Windows,SSO,8,Email,EMP0078-1064005c,
EMP0079,Finance,Finance,USA,Austin,Laptop,Firefox,Windows,Password,8,ERP,EMP0079-8dcdcd03,
EMP0080,Engineer,Engineering,Singapore,Singapore,Laptop,Chrome,Linux,SSO,10,GitHub,EMP0080-01d74256,
EMP0081,HR,Human Resources,UK,Manchester,Desktop,Chrome,macOS,SSO,9,ERP,EMP0081-0f1259e0,
EMP0082,HR,Human Resources,Germany,Berlin,Mobile,Chrome,Linux,SSO,10,ERP,EMP0082-080aadfb,
EMP0083,Admin,IT,USA,New York,Mobile,Firefox,macOS,Password,9,VPN,EMP0083-839fbc50,
EMP0084,Finance,Finance,Singapore,Singapore,Mobile,Chrome,Linux,SSO,9,Database,EMP0084-7c441fe7,
EMP0085,Engineer,Engineering,Singapore,Singapore,Laptop,Edge,Linux,Password,9,Database,EMP0085-b92da22b,
EMP0086,Admin,IT,USA,Seattle,Laptop,Firefox,macOS,SSO,9,Database,EMP0086-93829b43,
EMP0087,IT Support,Security,UK,Manchester,Desktop,Firefox,macOS,MFA,8,GitHub,EMP0087-7914c120,
EMP0088,Engineer,Engineering,Germany,Munich,Laptop,Edge,macOS,SSO,9,Database,EMP0088-1825bc54,
EMP0089,Engineer,Engineering,UK,Manchester,Laptop,Edge,Windows,MFA,9,VPN,EMP0089-5ab33edf,
EMP0090,Finance,Finance,Singapore,Singapore,Mobile,Chrome,macOS,Password,8,ERP,EMP0090-dd2467ac,
EMP0091,Admin,IT,UK,London,Mobile,Edge,macOS,SSO,8,Database,EMP0091-a748dbcf,
EMP0092,Engineer,Engineering,India,Pune,Laptop,Edge,macOS,Password,10,VPN,EMP0092-0f844fef,
EMP0093,IT Support,Security,Germany,Munich,Mobile,Firefox,Linux,MFA,9,GitHub,EMP0093-ccf3a171,
EMP0094,Admin,IT,Germany,Munich,Desktop,Chrome,Windows,SSO,8,VPN,EMP0094-310c0c00,
EMP0095,Engineer,Engineering,Singapore,Singapore,Laptop,Chrome,macOS,MFA,10,VPN,EMP0095-23e2fcb4,
EMP0096,IT Support,Security,Singapore,Singapore,Laptop,Chrome,Linux,Password,8,GitHub,EMP0096-766ecb15,
EMP0097,Finance,Finance,India,Mumbai,Desktop,Chrome,Windows,SSO,8,Database,EMP0097-134c6c92,
EMP0098,Admin,IT,India,Bangalore,Mobile,Edge,Linux,MFA,8,Database,EMP0098-db20a56e,
EMP0099,HR,Human Resources,India,Pune,Desktop,Chrome,Windows,MFA,9,Email,EMP0099-a6f2f7b8,
EMP0100,IT Support,Security,India,Mumbai,Laptop,Firefox,Linux,Password,8,Database,EMP0100-03c72ba8,
EMP0101,IT Support,Security,UK,London,Mobile,Edge,Linux,MFA,10,GitHub,EMP0101-c0e9ab30,
EMP0102,Admin,IT,Germany,Berlin,Mobile,Firefox,Windows,Password,7,Email,EMP0102-680ac07a,
EMP0103,Finance,Finance,India,Mumbai,Laptop,Chrome,macOS,Password,8,ERP,EMP0103-dd59ba71,
EMP0104,Admin,IT,UK,Manchester,Desktop,Chrome,Windows,MFA,8,Email,EMP0104-2a25a888,
EMP0105,Admin,IT,India,Mumbai,Desktop,Firefox,macOS,SSO,8,VPN,EMP0105-63f2ae24,
EMP0106,Engineer,Engineering,Singapore,Singapore,Mobile,Chrome,Linux,Password,8,GitHub,EMP0106-c8fe3ccd,
EMP0107,HR,Human Resources,Germany,Munich,Desktop,Chrome,Linux,SSO,10,Email,EMP0107-b253d218,
EMP0108,Finance,Finance,Singapore,Singapore,Desktop,Chrome,macOS,Password,9,Database,EMP0108-c88a618e,
EMP0109,IT Support,Security,Germany,Berlin,Laptop,Chrome,macOS,SSO,10,VPN,EMP0109-7c967f79,
EMP0110,Finance,Finance,Singapore,Singapore,Laptop,Edge,macOS,SSO,9,Database,EMP0110-37bb3eec,
EMP0111,HR,Human Resources,Singapore,Singapore,Mobile,Edge,Windows,MFA,10,Email,EMP0111-bc594585,
EMP0112,Finance,Finance,Germany,Berlin,Laptop,Edge,Linux,SSO,9,Database,EMP0112-504867ba,
EMP0113,Admin,IT,Singapore,Singapore,Desktop,Chrome,Linux,MFA,7,Database,EMP0113-7a0ecfea,
EMP0114,Admin,IT,Singapore,Singapore,Mobile,Firefox,Linux,MFA,7,VPN,EMP0114-87f7e1fb,
EMP0115,IT Support,Security,Germany,Munich,Mobile,Edge,Windows,Password,10,GitHub,EMP0115-82010c62,
EMP0116,HR,Human Resources,Germany,Munich,Mobile,Edge,Windows,Password,9,ERP,EMP0116-118a9d29,
EMP0117,HR,Human Resources,Germany,Berlin,Mobile,Edge,Windows,Password,10,HR Portal,EMP0117-dca02eec,
EMP0118,Engineer,Engineering,USA,Seattle,Mobile,Edge,macOS,SSO,9,VPN,EMP0118-f10c718b,
EMP0119,Admin,IT,UK,London,Desktop,Firefox,Windows,MFA,9,VPN,EMP0119-94340a03,
EMP0120,IT Support,Security,USA,New York,Desktop,Edge,Linux,SSO,8,GitHub,EMP0120-14fcdd54,
EMP0121,Finance,Finance,Germany,Munich,Laptop,Edge,macOS,MFA,9,Database,EMP0121-90b2b633,
EMP0122,IT Support,Security,Singapore,Singapore,Desktop,Edge,Windows,SSO,10,Database,EMP0122-42c18a62,
EMP0123,Admin,IT,USA,Seattle,Laptop,Edge,macOS,MFA,8,Email,EMP0123-506e5a9a,
EMP0124,Admin,IT,USA,Seattle,Laptop,Chrome,macOS,SSO,7,Database,EMP0124-21813d25,
EMP0125,Admin,IT,India,Hyderabad,Laptop,Firefox,Windows,MFA,7,Email,EMP0125-750cab75,
EMP0126,Engineer,Engineering,UK,Manchester,Desktop,Firefox,macOS,MFA,9,GitHub,EMP0126-ef8c485b,
EMP0127,IT Support,Security,UK,Manchester,Mobile,Firefox,Linux,SSO,10,VPN,EMP0127-9f044aed,
EMP0128,Engineer,Engineering,USA,Austin,Mobile,Edge,Windows,SSO,9,GitHub,EMP0128-19985f15,
EMP0129,Engineer,Engineering,India,Hyderabad,Laptop,Firefox,Linux,Password,9,GitHub,EMP0129-8181a8cc,
EMP0130,Engineer,Engineering,Germany,Munich,Desktop,Edge,Windows,Password,9,Email,EMP0130-5958a499,
EMP0131,IT Support,Security,USA,New York,Laptop,Chrome,macOS,MFA,9,Database,EMP0131-3e896c64,
EMP0132,IT Support,Security,USA,New York,Desktop,Firefox,Linux,MFA,10,GitHub,EMP0132-702cdd20,
EMP0133,Engineer,Engineering,UK,Manchester,Mobile,Firefox,Windows,Password,9,Database,EMP0133-4d71c366,
EMP0134,IT Support,Security,Germany,Munich,Mobile,Edge,Linux,MFA,9,Database,EMP0134-ce9e1a11,
EMP0135,Admin,IT,India,Mumbai,Desktop,Firefox,Linux,SSO,9,Database,EMP0135-aaf91531,
EMP0136,Finance,Finance,India,Hyderabad,Desktop,Chrome,macOS,SSO,8,Email,EMP0136-ee87905e,
EMP0137,IT Support,Security,UK,Manchester,Laptop,Firefox,Linux,Password,10,Database,EMP0137-e0ccedc5,
EMP0138,Finance,Finance,USA,Austin,Laptop,Firefox,macOS,Password,9,Database,EMP0138-e3c43657,
EMP0139,Engineer,Engineering,Singapore,Singapore,Mobile,Chrome,Windows,MFA,10,VPN,EMP0139-27cb6f2a,
EMP0140,Admin,IT,USA,New York,Laptop,Firefox,Linux,SSO,8,Email,EMP0140-35ebd32d,
EMP0141,HR,Human Resources,Germany,Munich,Desktop,Firefox,Linux,Password,9,Email,EMP0141-afffcfd2,
EMP0142,HR,Human Resources,USA,Austin,Mobile,Firefox,Linux,SSO,9,Email,EMP0142-81627cf1,
EMP0143,Admin,IT,India,Pune,Mobile,Chrome,Linux,MFA,9,Email,EMP0143-e87d1c78,
EMP0144,Finance,Finance,Singapore,Singapore,Mobile,Edge,Windows,SSO,9,ERP,EMP0144-a2607723,
EMP0145,Engineer,Engineering,Singapore,Singapore,Mobile,Chrome,macOS,Password,10,Database,EMP0145-0b49452d,
EMP0146,Finance,Finance,UK,London,Laptop,Chrome,Windows,MFA,8,Database,EMP0146-217d65a0,
EMP0147,Engineer,Engineering,USA,Austin,Laptop,Edge,Linux,MFA,9,Email,EMP0147-295d6fbf,
EMP0148,IT Support,Security,USA,Seattle,Mobile,Chrome,Linux,SSO,9,Email,EMP0148-b4a69f3c,
EMP0149,Engineer,Engineering,Germany,Berlin,Desktop,Edge,Windows,MFA,10,GitHub,EMP0149-1ca3c448,
EMP0150,Finance,Finance,Singapore,Singapore,Laptop,Edge,Linux,Password,9,ERP,EMP0150-b0e6a969,
EMP0151,Engineer,Engineering,USA,Austin,Mobile,Firefox,Windows,Password,8,VPN,EMP0151-093923de,
EMP0152,HR,Human Resources,Singapore,Singapore,Laptop,Firefox,Windows,SSO,9,HR Portal,EMP0152-8d7248e2,
EMP0153,Finance,Finance,USA,Austin,Laptop,Edge,Windows,Password,9,Email,EMP0153-0ab54bde,
EMP0154,HR,Human Resources,India,Bangalore,Laptop,Chrome,Linux,Password,10,ERP,EMP0154-eededb07,
EMP0155,Engineer,Engineering,USA,Seattle,Laptop,Chrome,macOS,MFA,8,Email,EMP0155-0a368ce7,
EMP0156,Engineer,Engineering,UK,Manchester,Desktop,Firefox,macOS,Password,10,Database,EMP0156-ae9bec36,
EMP0157,HR,Human Resources,Singapore,Singapore,Mobile,Firefox,macOS,MFA,9,Email,EMP0157-5a8aaeca,
EMP0158,Engineer,Engineering,UK,Manchester,Desktop,Firefox,Windows,MFA,8,Database,EMP0158-dfed2c43,
EMP0159,Engineer,Engineering,Germany,Berlin,Laptop,Chrome,Linux,SSO,10,Email,EMP0159-bfddc3d9,
EMP0160,Finance,Finance,UK,Manchester,Desktop,Firefox,macOS,MFA,8,ERP,EMP0160-3c9ad14c,
EMP0161,IT Support,Security,USA,Seattle,Desktop,Chrome,Linux,MFA,9,Email,EMP0161-ccc56569,
EMP0162,Admin,IT,India,Pune,Desktop,Edge,macOS,MFA,7,Database,EMP0162-698c206f,
EMP0163,Admin,IT,India,Bangalore,Laptop,Chrome,Linux,Password,9,Email,EMP0163-ecab3301,
EMP0164,Finance,Finance,USA,Austin,Laptop,Firefox,macOS,SSO,8,Database,EMP0164-696608aa,
EMP0165,Admin,IT,Germany,Munich,Mobile,Chrome,Linux,SSO,8,Database,EMP0165-bc2cbb0d,
EMP0166,Engineer,Engineering,Singapore,Singapore,Laptop,Firefox,Linux,Password,9,GitHub,EMP0166-28c13091,
EMP0167,IT Support,Security,Germany,Berlin,Desktop,Firefox,Windows,MFA,10,VPN,EMP0167-61ee411a,
EMP0168,Finance,Finance,India,Mumbai,Desktop,Firefox,Linux,MFA,8,Database,EMP0168-787f2425,
EMP0169,HR,Human Resources,USA,Austin,Mobile,Edge,Windows,Password,9,ERP,EMP0169-eb1fa9f2,
EMP0170,Engineer,Engineering,Singapore,Singapore,Desktop,Edge,Linux,MFA,9,Jira,EMP0170-d20eac17,
EMP0171,Finance,Finance,Germany,Berlin,Laptop,Chrome,Windows,SSO,8,ERP,EMP0171-39118497,
EMP0172,Finance,Finance,UK,Manchester,Desktop,Firefox,Linux,MFA,8,Database,EMP0172-6601ddd0,
EMP0173,IT Support,Security,India,Pune,Desktop,Chrome,Linux,SSO,10,Email,EMP0173-11c58ef0,
EMP0174,Finance,Finance,India,Mumbai,Desktop,Firefox,Windows,Password,9,ERP,EMP0174-59e4b671,
EMP0175,HR,Human Resources,USA,Seattle,Desktop,Edge,Windows,Password,10,Email,EMP0175-adf4e62d,
EMP0176,HR,Human Resources,USA,Seattle,Mobile,Firefox,Windows,SSO,10,ERP,EMP0176-54c63cd8,
EMP0177,Engineer,Engineering,UK,London,Desktop,Chrome,Linux,Password,10,VPN,EMP0177-e08596db,
EMP0178,Admin,IT,Singapore,Singapore,Mobile,Firefox,Linux,MFA,8,VPN,EMP0178-94a1875d,
EMP0179,Engineer,Engineering,Germany,Berlin,Mobile,Edge,macOS,MFA,9,GitHub,EMP0179-09cb3942,
EMP0180,Engineer,Engineering,USA,Seattle,Mobile,Edge,macOS,Password,9,Database,EMP0180-587ef344,
EMP0181,Finance,Finance,USA,Seattle,Laptop,Chrome,macOS,SSO,8,ERP,EMP0181-6fb78271,
EMP0182,Finance,Finance,Germany,Berlin,Laptop,Chrome,Windows,MFA,8,ERP,EMP0182-1d9af659,
EMP0183,IT Support,Security,USA,Austin,Laptop,Chrome,macOS,MFA,10,Email,EMP0183-30a900ad,
EMP0184,IT Support,Security,UK,Manchester,Mobile,Edge,Windows,MFA,9,VPN,EMP0184-6fa17735,
EMP0185,Admin,IT,Germany,Munich,Mobile,Chrome,Linux,SSO,8,VPN,EMP0185-ce777f00,
EMP0186,Admin,IT,UK,London,Laptop,Edge,Linux,Password,7,Email,EMP0186-f0b5156b,
EMP0187,IT Support,Security,Singapore,Singapore,Desktop,Firefox,macOS,SSO,9,VPN,EMP0187-3270e4fa,
EMP0188,IT Support,Security,USA,Seattle,Mobile,Edge,macOS,Password,9,VPN,EMP0188-f2e9702d,
EMP0189,Engineer,Engineering,Germany,Berlin,Mobile,Firefox,Windows,Password,10,Jira,EMP0189-9f871ce7,
EMP0190,Admin,IT,UK,London,Desktop,Edge,Linux,MFA,8,Database,EMP0190-1fe771d6,
EMP0191,IT Support,Security,India,Pune,Laptop,Edge,Windows,SSO,9,Email,EMP0191-81d2c7de,
EMP0192,Finance,Finance,Singapore,Singapore,Desktop,Chrome,macOS,SSO,9,ERP,EMP0192-5380b904,
EMP0193,Finance,Finance,UK,London,Mobile,Firefox,Windows,MFA,9,Email,EMP0193-8dedf9fb,
EMP0194,Finance,Finance,USA,Austin,Mobile,Firefox,macOS,SSO,9,ERP,EMP0194-aa38d0a1,
EMP0195,IT Support,Security,Germany,Berlin,Desktop,Edge,Windows,Password,9,GitHub,EMP0195-bf85bf0e,
EMP0196,HR,Human Resources,USA,New York,Laptop,Chrome,Linux,Password,9,ERP,EMP0196-91b0e1d9,
EMP0197,Finance,Finance,Singapore,Singapore,Mobile,Edge,Windows,Password,8,ERP,EMP0197-d56f0350,
EMP0198,Admin,IT,India,Hyderabad,Desktop,Firefox,macOS,Password,9,Database,EMP0198-35ce8841,
EMP0199,Finance,Finance,UK,London,Mobile,Chrome,Linux,MFA,9,ERP,EMP0199-9b4e2c24,
EMP0200,IT Support,Security,UK,Manchester,Desktop,Edge,macOS,SSO,8,Email,EMP0200-7118e364,
EMP0201,HR,Human Resources,Singapore,Singapore,Desktop,Chrome,macOS,MFA,9,Email,EMP0201-82dc4c8e,
EMP0202,IT Support,Security,India,Pune,Laptop,Chrome,Linux,MFA,9,Database,EMP0202-f5b78cc7,
EMP0203,Engineer,Engineering,USA,Seattle,Desktop,Chrome,Linux,Password,10,Database,EMP0203-a8aa7158,
EMP0204,Finance,Finance,USA,Seattle,Laptop,Edge,Windows,Password,8,Database,EMP0204-a9f25336,
EMP0205,Finance,Finance,USA,New York,Laptop,Edge,Linux,SSO,9,ERP,EMP0205-17e8392a,
EMP0206,Admin,IT,Singapore,Singapore,Laptop,Chrome,Linux,Password,9,VPN,EMP0206-3c20592f,
EMP0207,IT Support,Security,Singapore,Singapore,Laptop,Edge,Windows,MFA,8,VPN,EMP0207-ce7ae7f6,
EMP0208,HR,Human Resources,UK,Manchester,Laptop,Chrome,Linux,SSO,9,ERP,EMP0208-0bd4a990,
EMP0209,IT Support,Security,Singapore,Singapore,Mobile,Chrome,Linux,MFA,10,VPN,EMP0209-9c7c7377,
EMP0210,Finance,Finance,USA,Austin,Desktop,Chrome,macOS,SSO,9,ERP,EMP0210-74962764,
EMP0211,Engineer,Engineering,Singapore,Singapore,Desktop,Edge,Windows,SSO,9,Database,EMP0211-935f2b0a,
EMP0212,Finance,Finance,India,Pune,Laptop,Edge,Windows,SSO,8,Email,EMP0212-624c69b6,
EMP0213,IT Support,Security,Germany,Berlin,Laptop,Edge,macOS,MFA,10,Database,EMP0213-25c73c44,
EMP0214,Admin,IT,UK,London,Laptop,Chrome,macOS,MFA,8,VPN,EMP0214-e4855aa1,
EMP0215,HR,Human Resources,India,Mumbai,Laptop,Edge,Linux,SSO,10,Email,EMP0215-e2add909,
EMP0216,Finance,Finance,India,Mumbai,Desktop,Edge,Windows,SSO,9,Database,EMP0216-3805f907,
EMP0217,Engineer,Engineering,Germany,Munich,Desktop,Firefox,Linux,MFA,8,VPN,EMP0217-b227462c,
EMP0218,Admin,IT,UK,Manchester,Mobile,Edge,Windows,SSO,7,Database,EMP0218-8eb22579,
EMP0219,Admin,IT,Singapore,Singapore,Mobile,Edge,Linux,Password,8,VPN,EMP0219-1f115b76,
EMP0220,Finance,Finance,Germany,Munich,Mobile,Firefox,Linux,Password,9,Email,EMP0220-76f2dbfe,
EMP0221,Finance,Finance,UK,London,Mobile,Edge,macOS,MFA,8,Database,EMP0221-8f15ba58,
EMP0222,Engineer,Engineering,UK,Manchester,Mobile,Firefox,macOS,Password,8,GitHub,EMP0222-c1581092,
EMP0223,IT Support,Security,UK,London,Laptop,Chrome,Windows,SSO,9,GitHub,EMP0223-d0a44432,
EMP0224,Admin,IT,Singapore,Singapore,Mobile,Chrome,macOS,MFA,8,Database,EMP0224-6d3ee1dc,
EMP0225,Admin,IT,India,Mumbai,Mobile,Edge,Linux,MFA,8,Email,EMP0225-722764e6,
EMP0226,HR,Human Resources,India,Bangalore,Mobile,Chrome,Linux,SSO,9,Email,EMP0226-dc8aee30,
EMP0227,Finance,Finance,Germany,Munich,Laptop,Firefox,Linux,SSO,8,Database,EMP0227-c074718e,
EMP0228,Engineer,Engineering,USA,New York,Desktop,Chrome,macOS,MFA,10,GitHub,EMP0228-46fde062,
EMP0229,Finance,Finance,Germany,Berlin,Mobile,Firefox,Linux,MFA,8,ERP,EMP0229-7c0e8cd8,
EMP0230,Finance,Finance,Singapore,Singapore,Laptop,Chrome,Windows,Password,8,Database,EMP0230-709b7d97,
EMP0231,Finance,Finance,Singapore,Singapore,Desktop,Firefox,Windows,SSO,8,ERP,EMP0231-3c07c574,
EMP0232,Finance,Finance,UK,Manchester,Mobile,Edge,Linux,SSO,8,ERP,EMP0232-e49d681d,
EMP0233,Finance,Finance,India,Hyderabad,Desktop,Firefox,macOS,MFA,8,ERP,EMP0233-269cd696,
EMP0234,HR,Human Resources,UK,London,Laptop,Firefox,Windows,MFA,9,HR Portal,EMP0234-271e3ee2,
EMP0235,Finance,Finance,USA,Seattle,Mobile,Edge,Windows,MFA,9,ERP,EMP0235-6a34c854,
